,24hr growth,link,logo,marketcap,name,price,symbol,time,trading volume
0,0.42%,/currencies/bitcoin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1.png""/>",283756903567,Bitcoin,15306.47,BTC,20201110182739,"$26,378,495,174"
1,0.98%,/currencies/ethereum,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1027.png""/>",51082726841,Ethereum,450.57,ETH,20201110182739,"$12,143,300,520"
2,0.03%,/currencies/tether,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/825.png""/>",17359568118,Tether,1.00,USDT,20201110182739,"$38,864,407,366"
3,1.55%,/currencies/xrp,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/52.png""/>",11566871702,XRP,0.255269,XRP,20201110182739,"$3,517,291,536"
4,4.19%,/currencies/chainlink,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1975.png""/>",5126504391,Chainlink,13.09,LINK,20201110182739,"$1,720,231,328"
5,2.64%,/currencies/bitcoin-cash,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1831.png""/>",4784589341,Bitcoin Cash,257.67,BCH,20201110182739,"$1,639,530,695"
6,0.87%,/currencies/binance-coin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/1839.png""/>",4071825815,Binance Coin,28.20,BNB,20201110182739,"$310,620,822"
7,1.79%,/currencies/litecoin,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/2.png""/>",3836223642,Litecoin,58.25,LTC,20201110182739,"$2,342,431,920"
8,1.49%,/currencies/polkadot-new,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/6636.png""/>",3775122109,Polkadot,4.43,DOT,20201110182739,"$376,061,212"
9,0.11%,/currencies/cardano,"<img class=""coin-logo"" src=""https://s2.coinmarketcap.com/static/img/coins/64x64/2010.png""/>",3295477688,Cardano,0.105921,ADA,20201110182739,"$703,052,280"
10,2.28%,/currencies/bitcoin-sv,,2912026113,Bitcoin SV,156.84,BSV,20201110182739,"$625,119,666"
11,0.03%,/currencies/usd-coin,,2829238858,USD Coin,1.00,USDC,20201110182739,"$511,535,891"
12,0.46%,/currencies/eos,,2342292156,EOS,2.50,EOS,20201110182739,"$1,542,126,787"
13,1.34%,/currencies/monero,,2059447795,Monero,116.00,XMR,20201110182739,"$874,750,899"
14,0.67%,/currencies/wrapped-bitcoin,,1886019870,Wrapped Bitcoin,15282.47,WBTC,20201110182739,"$34,945,441"
15,0.08%,/currencies/tron,,1784853426,TRON,0.024907,TRX,20201110182739,"$720,978,403"
16,0.21%,/currencies/stellar,,1671947535,Stellar,0.079931,XLM,20201110182739,"$153,747,441"
17,3.11%,/currencies/tezos,,1618861177,Tezos,2.16,XTZ,20201110182739,"$169,190,338"
18,0.78%,/currencies/crypto-com-coin,,1481831919,Crypto.com Coin,0.069676,CRO,20201110182739,"$42,999,254"
19,0.56%,/currencies/unus-sed-leo,,1290752336,UNUS SED LEO,1.29,LEO,20201110182739,"$12,335,091"
20,5.40%,/currencies/nem,,1184990782,NEM,0.131666,XEM,20201110182739,"$27,441,056"
